Table 1
Category,Proxy,Unit,£ Value,Evidence,Evidence Match,Research Batch,
Reduced carbon footprint,GMCA Electricity - Long Run Variable Global Cost (LRVC) - Domestic (2024),,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,GMCA External Wall Insulation (EWI) - cost per m² including materials and       Global labour (2024),re²,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,GMCA Gas Boiler Replacement - small detached house (<117m²) cost per           Global household (2024),operty,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,GMCA Gas - Long Run Variable Cost Global (LRVC) - Domestic (2024),,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,GMCA Heat Network capital costs Global (2024),,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,GMCA Internal Wall Insulation (IWI) - cost per m² including materials and        Global labour (2024),tre²,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,GMCA Light-emitting diode (LED) - cost Global per bulb (2024),lb,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,GMCA Loft Insulation (Joists) - cost per m² including materials and labour          Global (2024),tre²,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,"GMCA Oxides of Nitrogen (NOX) - Air Quality Damage Cost, National Average      Global (2024)",nne,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,"GMCA Particulate Matter (PM2.5) - Air Quality Damage Cost, National Average      Global (2024)",nne,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,GMCA Party Wall Insulation (PWI) - cost per m² including materials and labour      Global (2024),tre²,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,GMCA Petrol - Long Run Variable Cost Global (LRVC) (2024),e,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,GMCA Photovoltaic-thermal hybrid solar (PV-T) - cost per unglazed panel     Global (type 1a or 2) (2024),nel,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon /app.socialvalueengine.co.uk/proxies - Social Value Engine,GMCA Plastic Materials - average carbon emissions per tonne of usage        Global,"nne age 78 of 103 2026, 17:30",,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,GMCA Price of Carbon (2024)               Global,,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,GMCA Sulphur Dioxide (SO2) - Air Global Quality Damage Costs (2024),ne,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,GMCA Value of Load Lost - the willingness to pay load-share-weighted average valuation of a one hour Global electricity outage across domestic and SME consumers (winter weekday peak time) (2024),,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,GMCA Water supply - average carbon emissions per million litres (delivered   Global through mains supply network) (2024),lion,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,GMCA Welfare/health benefit of reduced air pollution from vegetation     Global ('high' value) (2024),tare s land,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,GMCA Welfare/health benefit of reduced air pollution from vegetation     Global ('low' value) (2024),tare s land,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced carbon footprint,Net carbon sequestration by woodland Global (2024),tare,,https://www.gov.uk/government/publications/valuing-greenhouse-gas-emissions-in-policy-appraisal/valuation-of-greenhouse-gas-emissions-for-policy-appraisal-and-evaluation,Direct/supporting UK source,7,
Reduced carbon footprint,Recycling - Charity Shop (2013)           Global,of,,https://www.gov.uk/government/publications/valuing-greenhouse-gas-emissions-in-policy-appraisal/valuation-of-greenhouse-gas-emissions-for-policy-appraisal-and-evaluation,Direct/supporting UK source,7,
Reduced carbon footprint,Recycling - Exchange for free or for Global money (2013),of,,https://www.gov.uk/government/publications/valuing-greenhouse-gas-emissions-in-policy-appraisal/valuation-of-greenhouse-gas-emissions-for-policy-appraisal-and-evaluation,Direct/supporting UK source,7,
Reduced carbon footprint,Ultra Low Emission Vehicle car tax Global saving (2021),of s,,https://www.gov.uk/government/publications/valuing-greenhouse-gas-emissions-in-policy-appraisal/valuation-of-greenhouse-gas-emissions-for-policy-appraisal-and-evaluation,Direct/supporting UK source,7,
Reduced carbon footprint,Value of carbon savings from growing Global vegetables on allotments (2024),Plot,,https://www.gov.uk/government/publications/valuing-greenhouse-gas-emissions-in-policy-appraisal/valuation-of-greenhouse-gas-emissions-for-policy-appraisal-and-evaluation,Direct/supporting UK source,7,
Reduced carbon footprint,Value of improving energy efficiency by Global two Energy Performance Certificate (EPC) bands (2020),r of holds,,https://www.gov.uk/government/publications/valuing-greenhouse-gas-emissions-in-policy-appraisal/valuation-of-greenhouse-gas-emissions-for-policy-appraisal-and-evaluation,Direct/supporting UK source,7,
Reduced carbon footprint,Value of reduced greenhouse gas Global emissions per tonne (2024),onne,,https://www.gov.uk/government/publications/valuing-greenhouse-gas-emissions-in-policy-appraisal/valuation-of-greenhouse-gas-emissions-for-policy-appraisal-and-evaluation,Existing evidence link,,
Reduced carbon footprint,Value per mile cycled rather than driven Global (2019),r of,,https://www.gov.uk/government/publications/valuing-greenhouse-gas-emissions-in-policy-appraisal/valuation-of-greenhouse-gas-emissions-for-policy-appraisal-and-evaluation,Direct/supporting UK source,7,
Reduced social isolation for community members,Annual value attributed to change to seeing friends and relatives most days     Global from once or twice a week (2012),erson,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,7,
Reduced social isolation for community members,Annual value attributed to talking to Global neighbours more frequently (2014),r of e per,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,7,
Reduced social isolation for community members,Cost of loneliness (2015)                  Global,r of e per,,https://www.gov.uk/government/publications/loneliness-monetisation-report,Existing evidence link,,
Reduced social isolation for /app.socialvalueengine.co.uk/proxies - Social Value Engine,GMCA Child into local authority foster care: overall cost (cost per week) Note: excluding social care support directly related to fostered children (see          Global,"eek age 80 of 103 8/2026, 17:30",,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced social isolation for community members,"GMCA Child taken into care - average fiscal cost across different types of       Global care setting, England, per year (2024)",ear,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced social isolation for community members,GMCA Local authority own-provision day care for older people - cost per        Global session (2024),ession,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced social isolation for community members,GMCA Local authority own-provision residential care home for children - cost   Global per week (2024),eek,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced social isolation for community members,GMCA Multi-Systemic Therapy (MST) - Global cost per therapy session (2024),ession,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced social isolation for community members,"GMCA Residential care for older people - average gross weekly expenditure per      Global person, England (2024)",eek,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced social isolation for community members,GMCA Social worker - adult services: cost per hour (excluding qualification      Global costs) (2024),our,47,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Reduced social isolation for community members,Impact of loneliness on well-being Global (Measure Up),erson,,https://measure-up.org/,Existing evidence link,,
Reduced social isolation for community members,Impact of loneliness on well-being Global (Wellby),erson,,https://www.stateoflife.org/wellby,Existing evidence link,,
Reduced social isolation for community members,Value of being a member of a social Global group (2020),r of e,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,7,
Reduced social isolation for community members /app.socialvalueengine.co.uk/proxies - Social Value Engine,Value of talking to neighbours regularly Global (2020),"r of e age 81 of 103 8/2026, 17:30",,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,7,
